Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,No. of mining contracting staff: in WA,No. of mining contracting staff: Interstate,Notable clients,Offices in WA,Offices interstate,Services offered,% of work Mining,Mining Areas covered,Mining services revenue most recent year,Mining services revenue previous year,WA Revenue most recent financial year,WA Revenue previous financial year,Is the organisation headquartered in WA?,Ultimate holding company
Bunbara,160,,Nikky Barney-Irvine(Director),2019,8,NFP,NFP,"Shell, Woodside, Inpex, Wood, Worley, BAE Systems,",1,,"Supply of:
•Process Piping: Pipes, fittings,…Supply of:
•Process Piping: Pipes, fittings, flanges, bolts, and stud bolts in all material grades and sizes, including:
   -Carbon Steel & Low Temp
   -High-Yield Carbon Steels
   -Austenitic Stainless Steels
   -Duplex & Super Duplex
   -Nickel Alloys
   -Other rare and hard-to-find materials

•Valving: A wide selection of valves designed for various applications, ensuring optimal control and safety.

•Instrumentation: Advanced products delivering precise and reliable performance.",95,Australia wide,NFP,NFP,$12.00m,$8.00m,Yes,Privately owned Nikky 51% Pamela 49%
Saltbush Contracting,54,,Lachlan Jones(General Manager),2004,165,,,,4,,"Bulk haulage, surface mining, road construction,…Bulk haulage, surface mining, road construction, tailings dam construction, mine site services, crushing and screening, civil construction, mining equipment hire, heavy haulage",95,Western Australia,,,,,Yes,
Multiplant Holdings,47,31,Nader El Sayed(Managing Director),2009,NFP,NFP,NFP,"Rio Tinto, Roy Hill, Mineral Resources",2,,"Bulk and detailed earthworks
Foundation…Bulk and detailed earthworks
Foundation preparation
Roads and carparks (sealed and unsealed)
Road construction, maintenance and dust suppression
Sealing and line marking
Road furniture and signage
Land development & subdivisions
In-ground services
Rehabilitation and remediation
Load and haul
Mobile crushing and screening
Dewatering; poly welding, pipe and valve installation
Airstrip construction and refurbishment
Tailings dams and evaporative ponds
Pipelines (overland & underground)
Culverts and drainage
Run-off mine pads
Temporary fencing & barricading
Waste and potable water treatment
Borrow pit and quarry management
Non process infrastructure earthworks
Accommodation camps & site facilities
Wet and dry hire services
Rail formations
Rail infrastructure maintenance
Concrete remediation work
Engineering and Design
Structural, mechanical, piping
Shutdowns / Surface / Underground / turnarounds
Sustaining capital works
Access solutions
Facilities maintenance
Insulation and services
Flange management
Pump maintenance
Mine maintenance
Paste and tailing backfill
Shutdown support teams – management and labour
Underground Grouting and install
Underground Rising Main Supports
Underground Ladder Ways Installation
Underground ventilation systems
Underground equipment and tooling
Underground Dewatering
Pump Stations",NFP,"Pilbara, Kimberley, South West, Goldfields -…Pilbara, Kimberley, South West, Goldfields - throughout WA",NFP,NFP,NFP,NFP,Yes,
NRW Holdings,1,1,"Jules Pemberton(Chief Executive, Managing Director)",1994,"4,898",NFP,NFP,"BHP, Rio Tinto, Fortescue, Evolution Mining",9,4,"civil construction, bulk earthworks, road and…civil construction, bulk earthworks, road and rail construction concrete installation, contract mining, drill and blast services,  OEM, refurbishment and rebuild services for earthmoving equipment and machinery, tailored mine to market solution, specialist maintenance (shutdown services and onsite maintenance), Non- Process Infrastructure, innovative materials handling capability and complete turnkey design, construct & operation of minerals processing and energy projects.",NFP,"Pilbara, Kimberley, Mid West, South West,…Pilbara, Kimberley, Mid West, South West, Goldfields",$2.90bn,,NFP,NFP,Yes,NRW Holdings Limited
SSH Group,35,,Daniel Cowley-Cooper(Managing Director),2021,250,250,,,2,,"SSH Group Ltd has a portfolio of businesses…SSH Group Ltd has a portfolio of businesses servicing Australia's Mining, Civil, and Construction Industries.",NFP,"Pilbara, Gold Fields, Mid West",,,,,Yes,
Pindari WA,,,David Pidek(Managing Director),1997,,,,,,,,,,,,,,,
Applied Pollution Control,117,95,Hank Wadia(Managing Director),1995,NFP,NFP,,"Rio Tinto, FMG, Granny Smith Mining, BHP, Westgold",1,,"Dust and Fume Extraction - design engineering,…Dust and Fume Extraction - design engineering, fabrication, installation, maintenance",60,"Pilbara, Kalgoorlie Gold Fields, Meekatharra,…Pilbara, Kalgoorlie Gold Fields, Meekatharra, Iron Bridge",NFP,NFP,,,Yes,
Wallis Drilling,29,24,Graeme Wallis(Executive Director),1965,320,,,,,,"Mineral Drilling, Mining Contract Drilling.",NFP,,,,,,Yes,
Hinco Instruments,161,,,1956,7,,,"Newmont, FMG, Rio Tinto, Alcoa, Northern Star…Newmont, FMG, Rio Tinto, Alcoa, Northern Star Resources, Evolution, Goldfields,",1,,"NATA & Traceable Calibrations and Repair &…NATA & Traceable Calibrations and Repair & Service of Process Control and Test & Measurement Instruments.
Installation and Commissioning of data loggers, Telemetry Systems, Water Analysers and other instruments.",50,All,,,NFP,NFP,Yes,
Sedgman,37,53,"Steve van Barneveld(Executive General Manager, APAC)",2001,NFP,,NFP,"BHP, FMG, Roy Hill, Rio Tinto",1,23,"Engineering and Design, EPC, EPCM, Execution,…Engineering and Design, EPC, EPCM, Execution, Commissioning, Operational Readiness, Operations.",NFP,"Pilbara, Goldfields",NFP,NFP,NFP,NFP,,CIMIC Group
All Metal Industries,146,130,Matthew Wimmer(Managing Director),2019,13,,,,1,,Aluminium wholesaler and distributor.,20,,,,$17.50m,$15.20m,Yes,
Ausenco,41,,Reuben Joseph(President - APAC/Africa),1995,NFP,,,,,2,"Mine planning, Mine optimisation, Mine studies,…Mine planning, Mine optimisation, Mine studies, Pipelines, Transportation and Logistics, Asset Management and Optimisation, Project Delivery",NFP,,,,,,Yes,
Pacific Energy,17,,"James Cullen(Chief Executive, Managing Director)",1981,680,450,30,"Anglogold Ashanti, Westgold, PLS, Northern Star,…Anglogold Ashanti, Westgold, PLS, Northern Star, Genesis Minerals, Gold Fields, Roy Hill, Tronox, Regis Resources",4,4,"Remote energy, integrated renewables, Build Own…Remote energy, integrated renewables, Build Own Operate,
In-house design and manufacturing, hydrogen refueling stations.",80,"Pilbara, Kimberley, Gascoyne, Mid West,…Pilbara, Kimberley, Gascoyne, Mid West, Goldfields.",NFP,NFP,NFP,NFP,Yes,Pacific Energy Group Holdings Ltd
The GO2 People,,,,2011,,,,,,,,,,,,,,,
Alloy Steel International,84,,Steven Kostecki(Managing Director),1990,NFP,,,,1,1,Wear plate solutions.,85,All mining areas in Australia plus sales to 25…All mining areas in Australia plus sales to 25 countries,,,$72.94m,$67.96m,Yes,Alloy Steel International Inc.
Warrikal,9,10,Amanda Healy(Chief Executive),2017,"1,500","1,500",,"BHP, Fortescue Metals Group, Rio Tinto, Pilbara…BHP, Fortescue Metals Group, Rio Tinto, Pilbara Minerals, Roy Hill",3,,"A multidisciplined service provider focusing on…A multidisciplined service provider focusing on shutdowns, maintenance and sustaining capital projects. Skills include mechanical,  electrical, scaffolding, rope access, civil, water, SMP and non-process infrastructure.",100,"Pilbara, Goldfields",NFP,NFP,NFP,NFP,Yes,
Monford Group,48,,Ciaran Shannon(Chief Executive),2010,200,,,,1,2,"Integrated, multidisciplinary company, able to…Integrated, multidisciplinary company, able to mobilise experienced teams to site with minimal lead times. Their fleet of modern, well-maintained vehicles and equipment ensures high efficiency with minimal down-time.",NFP,"Mine sites across Australia including projects in…Mine sites across Australia including projects in ACT, regional QLD and the Pilbara WA.",,,,,Yes,
Blue Moon Resources,,,,,,,,,,,,,,,,,,,
Nyimili Hire and Contracting,162,,Angelo Radeski(Director),2022,NFP,,,,1,,"Labour, plant, camp services, non-process…Labour, plant, camp services, non-process infrastructure, bus and transport services.",NFP,,,,,,Yes,
Kariyarra Resources,155,,Angelo Radeski(Director),2022,NFP,,,,2,,"Labour, plant, camp services, non-process…Labour, plant, camp services, non-process infrastructure, bus and transport services.",NFP,,,,,,Yes,
SMS Mining Services,36,,"Daniel Sweeney(Founder, Managing Director, Chief Executive Officer)",2000,NFP,NFP,NFP,"Rio Tinto, BHP, FMG, Pilbara Minerals",3,,,NFP,"Pilbara, Goldfields",NFP,NFP,NFP,NFP,Yes,Varde Partners
BWE Drilling,49,,Darren Guild(Chief Executive),2011,200,200,NFP,"BHP, Rio Tinto, Fortescue Metals Group, Vault…BHP, Rio Tinto, Fortescue Metals Group, Vault Minerals, Northern Star Resources, Genesis Minerals",2,,"Diversified drilling services:
- Drill & Blast
…Diversified drilling services:
- Drill & Blast
- Waterwell drilling
- Exploration drilling
- Grade control drilling",100,"Pilbara, Goldfields, Murchison, Kimberley",,NFP,,,Yes,ASX:DDB
Radlink Communications,,,,2007,400,,,,,,,,,,,NFP,,,
Kuuwa Rentals,157,106,Wes Chapman(Managing Director),2019,12,,,"BHP, Min Res, Griffon Coal, South32",2,,Mining rental company.,75,"Pilbara, Kalgoorlie, South West, Metro",,,,,Yes,
Piacentini & Son,,,Brad Piacentini(Executive Director),1944,814,,,,,,,,,,,,,,
WesTrac,5,5,Jarvas Croome(Chief Executive),1989,"2,964",,,"BHP, Rio Tinto, Fortescue Metals Group, Mineral…BHP, Rio Tinto, Fortescue Metals Group, Mineral Resources, MACA Mining",11,19,"Authorised Caterpillar dealer, machinery and…Authorised Caterpillar dealer, machinery and construction equipment, finance, maintenance and resale services.",75,"Kimberley, Pilbara, Midwest, Wheatbelt,…Kimberley, Pilbara, Midwest, Wheatbelt, Goldfields, South West, Great Southern, Peel, Perth",,,,,Yes,
KCA Site Services,,,Adam Wilson(Co Founder & Managing Director),2016,285,285,4,"Northern Star Resources, Barminco, Evolution…Northern Star Resources, Barminco, Evolution Mining, Byrnecut, Macmahon, Gold Fields, Westgold, Vault, Catalyst, Redpath, Ramelius, Anglogold,",2,,"Recruitment Services
Equipment Hire
Civil Works…Recruitment Services
Equipment Hire
Civil Works
Underground Projects & Services
Shutdown Maintenance",100,"Goldfields, Southwest, Kimberley & Pilbara",NFP,NFP,NFP,NFP,Yes,
