Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Offices interstate,Number of external WA consultants,Industries Serviced,Number of full-time WA inhouse consultants,Total staff in WA,Percentage of Business-Other,Core business,Notable clients,Percentage of Business - Consulting,Offices in WA,Fee Per Hour,Ultimate holding company,Is the organisation headquartered in WA?,Types of consulting practiced
Bridge42,34,25,Andrew Durkin(Managing Director),2003,3,,"Cities and Infrastructure, Commercial and…Cities and Infrastructure, Commercial and Industrial, Education and Research, Health, Living (Residential, Retirement and Aged Care), Retail and Hospitality, Sport and Recreation.",32,41,,"Bridge42 is a national consulting firm providing…Bridge42 is a national consulting firm providing strategic, future-focused and vertically integrated property advisory, development and project management services for circa $10 billion in land, masterplanning and built form developments. It also collaborates with government and industries on various economic development, climate change, community and policy initiatives.","BHP, Charter Hall, CSIRO, Curtin Uni,…BHP, Charter Hall, CSIRO, Curtin Uni, DevelopmentWA, DPIRD, Golden Group, GPT, Hawaiian, ISPT, Mirvac, Murdoch Uni, Peet, Perron, PHIA, QIC, Ramsay Health Care, St John of God Health Care, Stockland, SwanCare, UWA, Vicinity, WesTrac, Woodside.",100%,1,,Bridge42 Pty Ltd,Yes,"Emerging Futures: research, knowledge exchange…Emerging Futures: research, knowledge exchange and industry partnerships. Advisory: property and commercial advisory, asset and portfolio planning, business case, market demand and feasibility studies, financial modelling, funding strategy, performance and transaction management. Development Management: development strategy, planning, design and development management, sales and marketing management. Project Management: project management and support, superintendent services, contract administration, tenancy delivery, peer review / project assurance."
Carbon Transition Pathways,,,Rob Minson(Managing Director),2020,,,,,,,,,,1,,,Yes,Energy transition.
Facilita Consulting,194,,"Susanna Durston(Director, Principal Facilitator)",2021,,,"Oil, Gas, New Energy & Mining, Manufacturing,…Oil, Gas, New Energy & Mining, Manufacturing, Education, Government, Automotive, Retail, Arts & Recreation, Professional Services, Technical Services, Technology, Not-for-Profit",2,2,,,,,1,,,Yes,"Strategic planning, change management, business…Strategic planning, change management, business improvement, project management, group facilitation and organisational development."
Castledex,,,Bruce Dewar(Managing Director),1968,,,,,,,,,,,,,Yes,
EnerMech,116,,,2009,9,,"Offshore Oil & Gas, Onshore Oil & Gas, Midstream…Offshore Oil & Gas, Onshore Oil & Gas, Midstream LNG Refining, Petrochemicals, Infrastructure, Maritime, Defence, Power, Semi-conductor, Renewables.",5,100,,,,,1,,,Yes,Energy Sector
NRI,,,,1996,5,,,,,,,,,1,,,,
Employment Services & Solutions Australia,,,Graham Lilleyman(Director),2000,,,,,,,,,,1,,,Yes,
Ad Astra Corporate Advisory,,,,2021,,,,,,,,,,,,,,
JANA,,,,,,,,,,,,,,,,,,
Frontier Advisors,,,,,,,,,,,,,,,,,,
Perth SEO Studio,,,"Evan Cunningham-Dunlop(Founder, Chief Executive)",2023,,,,,,,,,,1,,,Yes,
Fortin Pipelines,,,"JP Fortin(Founder, Managing Director)",,,,,,,,,,,1,,,Yes,
Cato Brand Partners,,,"Kate Gibson(Business Director, Perth)",1990,3,,,,19,,,"Commonwealth Bank, Macquarie Bank, a2 Milk, MAS…Commonwealth Bank, Macquarie Bank, a2 Milk, MAS Airlines, Donate Life, Qantas Airlines.",,1,,,,Branding and design.
idoba,,,"Sarah Coleman(President, Chief Executive since 2020)",2020,,,,,,,,,,1,,,Yes,
Fortuna Advisory Group,59,,Dinesh Aggarwal(Founder & Group CEO),2011,,,,NFP,57,,,,,5,,,Yes,"Accounting, finance, legal, business advisory and…Accounting, finance, legal, business advisory and wealth management."
Braxford Consultancy,110,92,Gary Gliddon(Managing Director),2001,,,"WA State and Local Governments, not-for-profit…WA State and Local Governments, not-for-profit organisations, construction & IT sectors",6,7,55%,"Risk management, corporate governance, business…Risk management, corporate governance, business advisory.",,45%,1,$180 - $250,,Yes,"Risk management, tax planning, internal audit &…Risk management, tax planning, internal audit & governance"
VML,76,66,,2012,3,4,"Financial Services, Member Led, Energy, Retail,…Financial Services, Member Led, Energy, Retail, Mining, Health, NFP",10,40,50%,Purpose led and sustainable business solutions,"Synergy, APM, Murdoch University, Rio Tinto,…Synergy, APM, Murdoch University, Rio Tinto, Horizon Power, Keystart, Water Corporation, Capricorn",50%,1,Project Dependant,WPP,Yes,"Organisational Strategy, Purpose Creation &…Organisational Strategy, Purpose Creation & Alignment, Legacy Executive Strategy, Contemporary Marketing Structures, Employee Experience, Customer Experience, Product & Service Design, Innovation & Technology, Brand & Creative Strategy, Commerce Solutions
Data"
Hawker Britton,195,,"Juliana Plummer(Director, WA)",2017,,,"Oil & Gas, Mining Services, Banking & Finance,…Oil & Gas, Mining Services, Banking & Finance, Consulting",2,2,,,,100%,,,WPP Inc,Yes,Government relations
Hunt Capital,235,,Jonathan Shack(Managing Director),2019,1,NFP,,NFP,NFP,,Facilitating equity capital raises,,,1,,,Yes,Financial and Business Development
Edanbrook Consultancy Services,,,McGregor Thom(Chief Executive),2015,,,,,,,,,,1,,,Yes,Engineering
R2R Services,173,161,"David Thomas(Managing Director, Chief Executive since 2007)",2005,2,10,"Resources, industrial, tourism and government.",2,20,95%,"Facilities/asset manager and consultant, food…Facilities/asset manager and consultant, food safety auditor.","PKKP, BHP, Grounded Construction, PKKP Aboriginal…PKKP, BHP, Grounded Construction, PKKP Aboriginal Corporation, Woodside, Velocity Village, Bruce Rock Engineering",5%,2,Negotiable,R2R Services,Yes,"Facility Management, catering services, building…Facility Management, catering services, building services. governance, food safety, auditing, COVID-19 documentation and implementation. Build Own Operate, security, cleaning and site catering operation auditing."
Element Advisory,23,,James Curtis(Chief Executive),1989,,,"Energy & Natural Resources, Government & Defence,…Energy & Natural Resources, Government & Defence, Property & Commercial, Transport & Infrastructure, Community & Health, Industrial & Manufacturing",65,75,,,,,,,SLR Consulting Pty Ltd,Yes,"Regulatory and Strategic Advisory,
Social &…Regulatory and Strategic Advisory,
Social & Cultural Advisory,
Digital & Technology Advisory"
Multiplan,32,,Kane Nitschke(Managing Director),1993,,,"Mining, commercial, infrastructure, resources",40,40,,"Construction modelling, shop detailing","Fortescue Metals Group, Wesfarmers, Multiplex,…Fortescue Metals Group, Wesfarmers, Multiplex, Rio Tinto, NRW, Grove Group",100%,1,$95,,Yes,Construction modelling
Boston Consulting Group,24,17,,2010,,,"Partner with clients from the private, public and…Partner with clients from the private, public and not-for-profit sectors in all regions.",60,70,,Boston Consulting Group is a global consulting…Boston Consulting Group is a global consulting firm that partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities.,,,1,,,Yes,"Management, corporate strategy, digital,…Management, corporate strategy, digital, operations improvement, people & organisation, business improvement, cost reduction, risk, large capital project management"
Julia Ewert,,,"Julia Ewert(Founder, Sales Strategist, Professional Negotiator)",2017,,,,,1,,,,,1,,,Yes,Management
PAEMAC,,,,2018,,,,,,,,,,1,,,Yes,"Engineering, construction"
Wellspring Group,,,"Marcus Tan(Founder, Executive Chair)",2001,,,,,,,,,,1,,,Yes,"Health, economic empowerment and education"
BDO,73,64,"James Massie-Taylor(Partner, Tax, Office Managing Partner)",1978,12,,,16,303,95%,"Audit, tax & advisory.",,5%,1,,,Yes,Sustainability consulting & project &…Sustainability consulting & project & infrastructure advisory.
ERM,,,Sabrina Genter(Partner),1988,,,"Mining, financial, legal, public sector,…Mining, financial, legal, public sector, infrastructure",,,,,"BHP, South32, Goldfields, Vale, Roxgold, Griffin…BHP, South32, Goldfields, Vale, Roxgold, Griffin Mining, Northern Star, Echo Resources, Bellevue Gold",,,,ERM Emilion Australia Pty Ltd,Yes,"Mining Operation Support, Development Studies,…Mining Operation Support, Development Studies, Mineral Asset Valuations, Due Diligence, Expert and Independent Reports, Valuations and Corporate Advice, Project Assessments, Environmental, Sustainability and Governance, Hydrogeology, Hydrology, Resource Estimation, Geometallurgy, Geoscience, Geochemistry, Studies, Exploration Management, Data Management Systems, Machine Learning and Technology Advisory."
Land Insights,127,,"Michael Taylforth(Founder, Principal)",2002,,,,5,6,,,,,1,,,Yes,Planning and environmental solutions.
Developed - Planning | Spatial | Delivery,70,,"Daniel Paton(Founder, Managing Director)",2020,,2,,14,16,,,,,1,,,Yes,"Town Planning 
Research 
Surveying & Spatial …Town Planning 
Research 
Surveying & Spatial 
Delivery & PM 
Strata"
Corbel Property,,,,,,,,,,,,,,,,,Yes,
Valuation and Resource Management,,,,,,,,,,,,,,,,,Yes,
Business Events Perth,54,,Gareth Martin(Chief Executive),1972,,NFP,Business Events,NFP,NFP,,"Funded by the Western Australian Government…Funded by the Western Australian Government through Tourism Western Australia, the City of Perth and member partners across the State, Business Events Perth has been securing high value conferences and incentive groups for Western Australia for over 50 years.",,,1,n/a,,Yes,Business Event Bidding. Destination Marketing…Business Event Bidding. Destination Marketing. Venue Referral Services.
Pendium Advisory,95,116,Mark Sinclair(Managing Director),2012,3,1,"Residential, Strata and Commercial Real Estate",8,9,,"Making the complex simple in rent roll brokering,…Making the complex simple in rent roll brokering, consulting, and transacting.","Macquarie, Colliers, Ray White, Judo Bank, The…Macquarie, Colliers, Ray White, Judo Bank, The Agency, BankWest, NAB, Stone Real Estate.",,1,,,Yes,"• Rent Roll and Real Estate Business Valuations
…• Rent Roll and Real Estate Business Valuations
* Brokerage of Real Estate Agencies and Rent Rolls
* Advisory Services
* Finance Brokerage for Agencies
• Strategic Business Review
• Business Growth Plan
• Due Diligence & Acquisition Assistance"
Greenbase,,,,1998,,,,,,,,,,,,,Yes,
Ithaka Media,237,,Jeremy Mullally(Creative Director),2018,,,"Cyber Security, Technology",1,1,,,,,,,,Yes,Video Marketing and Strategy
CyberCX,12,14,"Steve Schupp(Executive Director, WA)",2019,5,,All,140,140,,"Global cyber security, manage cyber risk, respond…Global cyber security, manage cyber risk, respond to incidents and build resilience in an increasingly complex and challenging threat environment.",,60%,1,,,Yes,"Cyber Security, Security Operations Centre,…Cyber Security, Security Operations Centre, Incident Response, Governance Risk and Compliance, Security Testing."
DataDivers,28,23,Chris Benthien(Co-Founder),2020,1,2,"Mining, oil and gas, health, education,…Mining, oil and gas, health, education, government, insurance, not-for-profit, utilities, banking and finance, transport, startups.",45,45,,"DataDivers is a dedicated consultancy for all…DataDivers is a dedicated consultancy for all things data and analytics. From data strategy, to building your data platform, to advanced analytics and data science, to creating a data culture.","Fremantle Ports; Telethon Kids Institute; Perth…Fremantle Ports; Telethon Kids Institute; Perth Mint; Department of Finance; MMG; South32; Department of Mines, Industry Regulation and Safety",100%,1,,,Yes,"Data advisory, data strategy and architecture,…Data advisory, data strategy and architecture, data governance, data platform establishment, data visualisation, advanced data analytics and ML, data science, managed analytics and data engineering support, and artificial intelligence."
Akkodis,6,6,"Omar Alim(General Manager, Delivery & Account Management)",1998,5,151,"Mining, energy, transport, logistics, health,…Mining, energy, transport, logistics, health, State and Federal Governments",240,394,1%,"Systems integration, IT consulting, IT staffing &…Systems integration, IT consulting, IT staffing & Academy training services. Services offered include managed services, project & program management, architecture & application development. Akkodis' solutions include application modernisation, Microsoft & AWS business solutions, data analytics, AI and cloud.",,99%,1,,The Adecco Group,Yes,IT
Verity Consulting,,,Sandy Chong(Principal),2005,,,,,,,,,,,,,Yes,
Context Capital,142,168,"Chris West(Co-Founder, Principal Consultant)",2020,,,"Wealth management, financial advice, not-for…Wealth management, financial advice, not-for-profit, family offices.",4,8,,Investment consulting,,,1,$350,,Yes,"Investment, governance, operations."
WSP,1,3,Ryan Eales(WA Co-Regional Director),1962,13,,"Mining, transport, energy, Defence, property,…Mining, transport, energy, Defence, property, water, utilities, energy, government,","1,055","1,132",,"Strategic consulting, advisory, planning,…Strategic consulting, advisory, planning, engineering, environmental management and planning, program management and project delivery, construction management, operations and maintenance.",Major mining clients; Government transport…Major mining clients; Government transport clients; contractors; oil & gas; state and local government agencies.,,2,,WSP Global,,"Strategic advisory, Project and Program Delivery,…Strategic advisory, Project and Program Delivery, Multidisciplinary Engineering and Environmental Consulting; Digital; Stakeholder Engagement; Strategic Asset Management; Infrastructure Investment Decisions; Planning; Social Performance; ESG; Net Zero; Transport & Mobility; Mining Infrastructure: Mine Closure; Mine Waste; Renewables; Energy Transmission; Generation & New Energy; Building Services; Water; Maritime."
PwC,9,7,"Martina Crowley(Managing Partner, Perth)",1896,9,NFP,"Mining, oil and gas, services to mining,…Mining, oil and gas, services to mining, government, telecomms, health services, higher education, manufacturing, utilities, technology, financial services, transport logistics, industrial products, defence, shipping, infrastructure, agriculture.",NFP,455,50%,"Strategy through execution - strategy, management…Strategy through execution - strategy, management consulting, operations consulting, people and change management, program management, delivering deal value, finance transformation, shared services, tech consulting, systems integration, project delivery services, enterprise architecture, risk management, fraud and forensics investigation, cyber security, actuarial capital project management, capital project productivity.",,50%,1,,,Yes,"Strategy, technology, analytics, operations,…Strategy, technology, analytics, operations, strategic procurement and supply chain, transformation, economics, risk and regulatory, fraud and forensics, actuary."
SLR Consulting,18,,"Scott Bird(Technical Director, Growth Lead WA)",2004,19,,,169,175,,"SLR is an international environmental consultancy…SLR is an international environmental consultancy over 4000 professionals. We are consultants in the energy, infrastructure, land development, and resources sectors. SLR manages environmental approvals, town planning approvals, biological surveys, aquatic surveys, contaminated site management, social performance, heritage, hazardous materials and asbestos management, hydrology, acoustics and vibration, and provides renewable energy solutions.","Alcoa, MRL, Woodside, Development WA, Synergy,…Alcoa, MRL, Woodside, Development WA, Synergy, Horizon, Water Corporation, BHP Billiton Iron Ore, Holcim, Rio Tinto, Chevron, ABN, Perron Group",,1,,SLR Consulting Australia Pty Ltd,Yes,Environmental
Talent Consortium,175,,"Sharon Parcell(Founder, Director)",2014,,,"industrial , resources , services, nfp",2,6,60%,,,40%,1,275,Talent Consortium Pty Ltd,Yes,"HR consulting, workforce planning, values based…HR consulting, workforce planning, values based recruitment, assessment centres, leadership coaching."
Lester Blades Executive Search & Board Advisory,109,97,Geoff Blades(Founding Partner),2002,,,All,6,8,,"Executive search, executive advertised…Executive search, executive advertised recruitment, c suite, board reviews, board recruitment, board advisory.",,100%,1,,,Yes,"Executive search, executive advertised…Executive search, executive advertised recruitment, c suite, board recruitment, board advisory, board evaluations."
Gerard Daniels,91,53,Michael McAnearney(Founding Partner & Director),1986,1,2,All industries,8,19,90%,International professional services group with…International professional services group with divisions in executive search and board & executive leadership.,,10%,1,WND,Gerard Daniels Australia Pty Ltd,Yes,"C-Suite, Senior Management, Governance, Board &…C-Suite, Senior Management, Governance, Board & Executive Leadership, financial across all sectors"
Talenting,113,93,Jonathon Woolfrey(Managing Partner),2018,,,"Government, Not-For-Profit, Private.",6,7,50%,,"Major government departments including Department…Major government departments including Department of Communities, Department of the Premier and the Cabinet, WA Country Health Service and others.",50%,1,,Talenting International Pty Ltd,Yes,"People and culture, human resources, industrial…People and culture, human resources, industrial relations, organisational strategy, governance and board advisory."
Envision Digital Pty Ltd,231,118,Rod Wakefield(Managing Director),2015,2,4,"Mining, Construction, Manufacturing, Logistics,…Mining, Construction, Manufacturing, Logistics, Mining Services, Software, Technology, Digital Marketing, Consulting and Trades",1,1,70%,"Envision Digital® is a niche Connector App…Envision Digital® is a niche Connector App Product Development business.
Envision Digital® specialise in software implementation, integration, automation and digital enablement services.","BambooHR, Sage, PandaDoc, Constant Contact, APRA…BambooHR, Sage, PandaDoc, Constant Contact, APRA AMCOS, RPMGlobal, BMH Electrics, T-Shirt Ventures and FieldInsight",30%,1,NFP,,Yes,"Enterprise/ERP Consulting
Business Systems…Enterprise/ERP Consulting
Business Systems Consulting
ISO Certification Consulting
Integration and Automation Consulting
HRIS Training and Consulting"
Worley Consulting,5,5,"Jessica Pringle(Managing Director,  Australia Central  (Mongolia and South Australia))",2014,5,,"Energy, chemicals and resources including gas,…Energy, chemicals and resources including gas, hydrogen, power, oil, chemicals, minerals, mining, water, infrastructure (including rail, roads, marine and coastal, buildings)",NFP,327,,"Worley Consulting combines front-end technical…Worley Consulting combines front-end technical and commercial consulting capabilities to offer clients a differentiated blend of strategic consulting and deep technical consulting expertise in the energy, chemicals and resources sectors.  We understand specific commercial, technical and collaboration challenges, proudly accessing decades of project and business experience to provide informed advice and ensure strategic, practical and commercially orientated solutions.","BHP, Rio Tinto, Woodside, Fortescue Metals Group,…BHP, Rio Tinto, Woodside, Fortescue Metals Group, Burrup Fertilisers, Department of Transport, WA Port Authorities, Main Roads, Water Corporation, Public Transport Authority.",100%,2,Varied depending on staff working on assignment.,Worley Limited,,"Technical, strategic, environmental, advanced…Technical, strategic, environmental, advanced analysis, water infrastructure, water resources, road infrastructure, rail infrastructure, ports, marine and coastal, geomatics, closure, decarbonisation, upstream and midstream hydrocarbon process, power, energy transition, asset advisory, social, geosciences, safety and risk."
Heidrick & Struggles,177,,Luke Robbins(Principal),2015,2,,All,2,5,,"Executive Search, Leadership Assessment,…Executive Search, Leadership Assessment, Succession Planning, Coaching, Leadership Advisory, Culture Acceleration, Organisational Development",,100%,1,,,Yes,Employment. Leadership. Assessment.
ANSON Management Consulting,141,51,John Broweleit(Chair),1995,,6,"Community Services, Not for Profit, Government",4,10,50%,"HR Consulting, Governance, Risk & Compliance,…HR Consulting, Governance, Risk & Compliance, Social Ventures, Strategy, Occupational Safety and Health, and Recruitment - Standard, Recruitment - Executive","Nulsen, Outcare, Hope Community Services, ASeTTS,…Nulsen, Outcare, Hope Community Services, ASeTTS, Nascha, Baptistcare, Future Living, WAAMH, Foodbank",50%,1,,,Yes,"HR Consulting for Not for Profit organisations,…HR Consulting for Not for Profit organisations, Profit for Purpose businesses, Government agencies and Social Ventures"
Korn Ferry,119,91,"Beau Yorke(Senior Client Partner, Sector Lead, Energy & Resources, ANZ)",2015,5,,All industries,5,15,75%,"Management consultants, CEO recruitment,…Management consultants, CEO recruitment, executive reward, executive coaching, leadership transformation, organisation structure, change management, performance management, pay databases, worforce effectiveness, employee engagement, diagnostic surveys.",,25%,1,WND,Korn Ferry International,Yes,"Executive search, leadership assessment and…Executive search, leadership assessment and development, organisation strategy, rewards"
EnergyTec,36,26,Damien Moran(Managing Director),1993,1,1,"Property - Commercial, Industrial, Retail, Strata…Property - Commercial, Industrial, Retail, Strata Mixed Use, Strata Residential, Aged Care, Airport Estates, University Campuses",30,NFP,85%,"•	Meter Reading, Reconciliation and Billing –…•	Meter Reading, Reconciliation and Billing – Embedded Networks, Energy and Utility 
•	Technical Advisory – Meter network Audits, Embedded Network Conversions, Submeter Supply, install, programming and commissioning
•	Retail / renewable Energy Services – Energy Procurement, Solar, battery Energy Storage, Distributed Energy Resources (DER) and Electric Vehicle Charging
•	Tariff review optimisation
•	Electricity Tendering (Energy Procurement)","CBRE, APIL, Centuria, Colliers, Cygnet West, JLL,…CBRE, APIL, Centuria, Colliers, Cygnet West, JLL, Knight Frank, Hawaiian, Dexus, Perth Airport, GPT, AMP, Charter Hall, Cushman Wakefield, Savills, B Strata, Curtin University, Edith Cowan University, Richardson Strata, ESM Strata.",15%,1,,Energy-Tec Holdings Pty Ltd,Yes,"•	Energy Roadmap Solutions and Advisory for all…•	Energy Roadmap Solutions and Advisory for all property sector projects from start to finish
•	Renewable Energy Implementation – including Advanced metering (AMI), renewable Generation (Solar), Battery Energy Storage System (BESS) and Electric Vehicle (EV) Chargers
•	Embedded network conversions consultants and project management
•	Technical Advisory – Meter network Audits, Embedded Network Conversions, Submeter Supply, install and commissioning, Solar and EVC Feasibilities"
Sitevisuals,186,,"David Shawcross(Co-Founder, Director, Chief Technology Officer)",2008,,,,NFP,NFP,,,,,1,,,Yes,Time-lapse Photography
TCS NDT,99,,Alisa Hewling(Managing Director),2019,,2,,8,8,,,,,1,,,Yes,Non Destructive Testing
PWD Digital Agency,29,,Oliver Wood(Managing Director),2007,,,,43,43,,,,,1,,,Yes,"Marketing, digital marketing."
Future Smart Strategies,179,170,Ray Wills(Managing Director),2007,2,,"Mining, resource, engineering, construction,…Mining, resource, engineering, construction, property, renewable energy, sustainability, education, training, health, IT, hospitality, investment, infrastructure, venue management",2,4,,Providing intelligence on the future of markets.,,,1,,FDRW Pty Ltd,Yes,Strategic advice across all sectors
Diversus,14,15,Dien Tang(Director),2006,4,NFP,"Diversus works across various industries…Diversus works across various industries including mining, oil & gas, agribusiness, banking & finance, insurance, healthcare, government and the not-for-profit sectors.",NFP,NFP,20%,"Diversus is a provider of end-to-end business and…Diversus is a provider of end-to-end business and software consulting, from up-front strategic business planning and analysis through to systems design, implementation and support of complex software applications and technology environments.","Fremantle Ports, Royal Life Saving Society, HBF,…Fremantle Ports, Royal Life Saving Society, HBF, Tourism WA, Rio Tinto, St John of God Health Care, Arc Infrastructure, Office of Digital Government",80%,2,,Diversus,Yes,"IT Consulting, IT Strategy, Application…IT Consulting, IT Strategy, Application Development, Cloud Solutions, Customer Experience, Cybersecurity, Digital Transformation, Data & Insights, Intelligent Automation, Mobile Innovations, Modern Workplace."
Enginuity Consulting,230,154,Rob Davis(Principal Consultant),1998,,,"Family business, technology commercialisation,…Family business, technology commercialisation, manufacturing, mining service",1,1,50%,"Family business governance, executive mentoring,…Family business governance, executive mentoring, corporate advisory, management consulting  and technology commercialisation.",NFP,50%,1,$300,,Yes,Management
Futureproof,134,121,"Ben Swan(Founder, Director, Sustainability Consultant)",2018,,,"Mining, resources, industrials, tech, agriculture…Mining, resources, industrials, tech, agriculture, services",5,5,,Strategy and communications,,100%,1,,,Yes,"Sustainability Consulting,ESG Consulting."
RPS,15,13,Murray Burling(Executive Director),2003,21,"1,014","Property, Energy, Transport, Defence & government…Property, Energy, Transport, Defence & government services, Water, Resources",130,193,,"RPS is a global professional services firm…RPS is a global professional services firm working across six sectors: property, energy, transport, water, resources, defence and government services. Its services span twelve clusters: project and program management; design and development; water services; environment; advisory and management consulting; exploration and development; planning and approvals; health, safety and risk; oceans and coastal; training and communication and creative services.","BHP, DevelopmentWA, Stockland, Santos, Local…BHP, DevelopmentWA, Stockland, Santos, Local Government, Department of Defence, AFP, Curtin University, Star of the South, ConocoPhillips, Diamond Offshore",100%,3,Varies,"Tetra Tech, Inc.",,"Water services; environmental; marine science;…Water services; environmental; marine science; advisory and management consulting; planning and approvals; project and program management; design and development; exploration and development;  health, safety and risk; oceans and coastal; training & communication and creative services."
CDI Experts,68,55,Tony Hughes(Managing Director ),2014,2,10,"Mining, oil & gas, power, renewable energy, rail,…Mining, oil & gas, power, renewable energy, rail, infrastructure, commercial, residential, industrial process",12,15,,"Project Management, Cost Management and…Project Management, Cost Management and Secondment of Consultants into Projects. Construction claims advisory & dispute resolution, provision of delay and quantum analysis for construction disputes. Expert witness services.",,100%,1,,CDI Experts Pty Ltd,Yes,"Project Management, Project Development…Project Management, Project Development Management, Cost Management, Construction claims advisory & dispute resolution, project management, planning and project controls, quantity surveying & cost management, commercial & contract management."
8Squad,87,63,Kel Henderson(WA Lead),2017,3,93,,9,9,80%,Salesforce,,20%,1,,,Yes,Salesforce CRM implementation and support.
Informatics,83,76,,2017,,NFP,"Construction, Mining, Oil & Gas",NFP,NFP,10%,,,90%,1,,,Yes,"Artificial intelligence, data & analytics,…Artificial intelligence, data & analytics, business performance improvement, digital & cloud transformation, systems integration, managed services & support."
Rapid Teams,123,,"Angus Firth(Director, Principal Consultant)",2018,,,"Mining, Resources, Aged Care, Government,…Mining, Resources, Aged Care, Government, Manufacturing, Oil and Gas, Financial/Banking.",5,8,,"Experiential team development or team building…Experiential team development or team building workshops and activities. Amazing race programs in Perth, Fremantle and Busselton linked to company values as well as the exclusive Optus Stadium Pathfinders program.","BHP, Amazon Web Services, Rio Tinto, CBH Group,…BHP, Amazon Web Services, Rio Tinto, CBH Group, Westpac, Chevron, WesTrac, Commonwealth Bank, APA Group",,,,,Yes,"Team development, team building, team day…Team development, team building, team day workshops and team events."
Lucid Consulting Australia,26,16,"Simon Thwaites(Director, WA)",2012,7,,Construction Industry,51,58,10%,"Founded in 2000, Lucid is the largest employee…Founded in 2000, Lucid is the largest employee-owned and Australian-owned engineering consultancy to operate in all mainland regions of Australia. Its team consists of over 300 professionals with 8 offices around Australia.

Lucid's vision is to be Australia's most forward thinking, agile and influential engineers and asset advisors. 

Lucid has a strong track record and impressive project portfolio spanning a wide variety of industries and sectors including Defence, Health, Education, Research, Aged Care, Commercial, Critical Facilities, Industrial, Public Realm, Transport and Utility Infrastructure.",,90%,1,Professional Services,Lucid Consulting Group Ltd,Yes,"Asset Management,
Communications and Audio…Asset Management,
Communications and Audio Visual,
Electrical Services,
Fire Engineering,
Fire Services,
High Voltage Engineering,
Hydraulic Services,
Mechanical Services,
Project Management,
Public Realm,
Security Services,
Specialist Lighting,
Energy and Sustainability,
Vertical Transportation,
Structural Engineering"
Welldev Group,213,165,Randal Wells(Managing Director),2017,,NFP,"Property, Resources (NPI), Infrastructure.",NFP,NFP,,"Property Development Management. 
Decide. Act…Property Development Management. 
Decide. Act. Develop.","DevelopmentWA, Maxima Opportunity Group, Civeo,…DevelopmentWA, Maxima Opportunity Group, Civeo, Resource Accommodation.",,,,,Yes,"Property development management,
Independent…Property development management,
Independent project review,
Independent tender adjudication,
Business decision-making best practice."
V1 Aviation Consulting,247,,"Matt Granger(Director, Principal Consultant)",2018,,,"Aviation, and some NDIS support providers.",1,1,15%,Aviation,"Maroomba Airlines, RFDS Central Operations, RFDS…Maroomba Airlines, RFDS Central Operations, RFDS Western Operations",85%,1,200,,Yes,"Consulting support and research to small and …Consulting support and research to small and  medium operations, up to large airlines.  Operations manual production, risk assessments, Air Operator Certificate establishment & variations, route planning, aircraft selection, regulatory compliance assurance."
Ausenco,27,,Reuben Joseph(President - APAC/Africa),1995,,,,NFP,NFP,,,,,,,,Yes,"mine planning, mine studies, pipeline,…mine planning, mine studies, pipeline, sustainability, asset optimisation, feasibility studies, detailed engineering"
Theodorsen Industrial Relations,221,152,John Theodorsen(Director),2004,,,All,1,2,10%,"Industrial and employee relations consulting…Industrial and employee relations consulting services, registered industrial agents.",,90%,1,,Theodorsen Consulting Pty Ltd,Yes,Industrial and employee relations.
Triangle Growth Partners,171,161,Kent Matla(Partner),2018,,4,,3,3,50%,,,50%,1,,,Yes,"Business innovation, Business transformation,…Business innovation, Business transformation, Export readiness execution and expansion, Investment preparation (reflecting shareholder and enterprise value), Cross-border transactions, and Mentoring.

Triangle Equity Partners is the delivery leader for ScaleUP WA (see www.scaleupwa.com.au) which is WA’s premier growth program for achieving business breakthrough. ScaleUP WA is designed to accelerate business growth, propelling innovative businesses that are  growth-focused to new heights. ​Catering to SMEs across various sectors including food and beverage, emerging technologies, greentech, circular economy, and ​agriculture, ScaleUP WA is a central hub for entrepreneurial development in the region.

Triangle Equity Partners is also the Australian country partner for the Global Innomation Management Insitute (see giminstituteorg), the largest global innovation management certification practice based out of Boston, USA. TEP founded the Australian Innovation Management Institute (see www,aiminstitute.org.au) with the deep purpose of advancing the understanding and development of innovation and innovation management across Australia."
Bedivere Group,50,46,Nick Male(Director),2014,,12,"Minerals and resources, construction, engineering…Minerals and resources, construction, engineering, infrastructure, SME / Start ups, Energy, Off-set and Environmental project support",21,24,10%,"Contracts, commercial, project services and…Contracts, commercial, project services and corporate consultancy, predominantly in the minerals and resources sector including related energy and carbon off-set projects.",Confidential,90%,2,,,Yes,"Commercial, legal, and corporate services;…Commercial, legal, and corporate services; interim management, senior secondments, business advisory, carbon supply chain integration, carbon project support"
Anacta,163,,Mark Reed(Director),2022,5,,,3,3,,,,,1,,,Yes,"Campaigns, stakeholder relations and…Campaigns, stakeholder relations and communications."
Interspacial Systems,236,157,David Karr(Principal),2000,,,"Manufacturing, service, education, IT",1,1,40%,"Business optimisation, lean management, game…Business optimisation, lean management, game theory, benefit and risk analysis.",WND,60%,1,WND,,Yes,"Business optimisation utilising lean management,…Business optimisation utilising lean management, game theory, benefit and risk analysis."
