Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,Number of engineers in WA,Offices in WA,Offices interstate,Current projects (top 5 only),Services offered,WA Revenue previous financial year,WA Revenue most recent financial year,Location of Head Office,Is the organisation headquartered in WA?,Ultimate holding company
Geng,163,143,Cliff Green(Principal),1981,2,1,1,,Defence - consulting design & manufacture…Defence - consulting design & manufacture. Consulting design work (manufacturing design) for the Curtin Institute of Radio Astronomy.,"Product design and development, review and…Product design and development, review and consultation, lectures and presentations on manufacturing design and product design.",,,Bickley WA,Yes,Geng Pty Ltd
Profluid Group,149,,Jerome Monteiro(Managing Director),2017,14,4,2,1,"Waitsia Stage 2 Gas plant, Lynas Kalgoorlie…Waitsia Stage 2 Gas plant, Lynas Kalgoorlie processing plant, Roy Hill WTP, Tianqi Lithium, South32 Terminals, Viva Energy Terminals West, ...","Valves supply from high end brands and…Valves supply from high end brands and modifications/custom design: Gate, Globe, Check, Ball, Butterfly, Knife-gate, Strainer, Pressure relief valve, vacuum breaker, balancing valves, diaphragm valves, sight glasses, flanges, spectacles ...

NATA accredited pressure testing facility up to 140Mpa 
Site Testing: PSVs , Valves, Spools, Pipelines

Valves design consultancy, Maintenance strategies and Site Inspection

Valves repairs and PSV recertification",,NFP,Perth,Yes,
ATC Williams,133,126,Darren Watt(Chief Executive Officer),1993,9,8,1,6,,"Tailings Management, Resources Recovery, Landfill…Tailings Management, Resources Recovery, Landfill Engineering, Dam Break Modelling, Dams Engineering, Water Resources, Hydraulics and Structural Engineering, Hydrogeology, Materials Characterisation
Geotechnical Investigation, Tailings Transport and Mechanical Engineering, Construction Support and Management, Governance and Risk Assessments, Seismic Hazards, Engineer of Record,            
Ground Engineering, Numerical Modelling, Closure and Rehabilitation 
CAD (Design Drafting and Terrain Modelling), Project Management, Geosynthetics",NFP,NFP,Melbourne,Yes,NFP
Camco Engineering,88,120,Bruce Cameron(Executive Director),1995,480,20,6,,,"Camco Engineering is a key supplier of…Camco Engineering is a key supplier of operational support and 
manufacturing services to the mining, energy and power generation 
sectors.",NFP,NFP,"1 Bell Street, Canning Vale  WA   6155",Yes,
PARC Engineering,50,53,Daniel Debattista(Managing Director),2018,687,52,3,,"Metronet, Covalent Lithium Refinery, RAAF Bases…Metronet, Covalent Lithium Refinery, RAAF Bases Curtin and Learmonth, Waitsia Gas Project, Fortescue","Construction, shutdown and maintenance services…Construction, shutdown and maintenance services in civil, mechanical and electrical disciplines.",NFP,NFP,2 Sleat Road Applecross,Yes,
Airey Taylor Consulting,136,111,Peter Airey(Managing Director),1971,11,7,1,,"Wattleup East P/S Whodjick Dv 7 Block School,…Wattleup East P/S Whodjick Dv 7 Block School, Wangara Bus Depot, Leonora Retirement Village, Aqua Jetty Stage 2 Alterations & Additions Warnbro, 4 Banool Cres Residence, City Beach","Civil and structural engineering, scientific /…Civil and structural engineering, scientific / forensic.",,,West Perth,Yes,Airey Taylor Pty Ltd T/A Airey Taylor Consulting
Primero,21,8,Michael Gollschewski(Managing Director),2011,NFP,NFP,3,1,"KCGM Growth Project, Rio Tinto Coastal Water","A leading multidisciplinary engineering,…A leading multidisciplinary engineering, procurement, and construction company specialising in delivering comprehensive, fully integrated solutions to the mining, energy and resource sectors. From feasibility studies and early-stage design to construction, operations and ongoing maintenance and sustaining capital services, our expertise spans the entire project lifecycle. By leveraging our extensive industry knowledge and resources, we provide tailored solutions that meet the unique challenges of our clients, ensuring success from concept through to operations.",,,Osborne Park,Yes,NRW Holdings
Assetivity,132,113,Sandy Dunn(Managing Director),2000,NFP,NFP,1,1,"Leichhardt Industrials Group - Operational…Leichhardt Industrials Group - Operational Readiness Support, EDL - Enterprise Asset Management System Implementation, Goldfields Australia - Reliability Engineering Support, Newmont Mining - Equipment Care Strategies, Pilbara Ports - Asset Management","Services Offered: Assetivity offers specialist…Services Offered: Assetivity offers specialist consulting and training services in the areas of Maintenance, Reliability Improvement and Asset Management. We also offer a suite of course material, along with customised solutions to meet unique training needs. As a member of UKs Institute of Asset Management (IAM) Endorsed Trainer Scheme, we are authorised to provide IAM-recognised certificates for a range of asset management courses.",NFP,NFP,"South Perth, WA",Yes,Assetivity Pty Ltd
Teck Global,121,,David Zucaro(Managing Director),2014,30,NFP,1,,"Kwinana BESS, Collie BESS, SKAO",Complete in-house solutions for electrical…Complete in-house solutions for electrical distribution projects including Switch Rooms and Kiosk Substations. High and Low Voltage expertise. Siemens partner for MV Switchgear.,NFP,NFP,Malaga WA,Yes,
Toro Engineering,135,,"Vaughan James(Founder, Director)",2020,13,7,1,,,"Civil / Structural Engineering across the Mining,…Civil / Structural Engineering across the Mining, Renewables, NPI and Industrial sectors",,,Suite 170 / 580 Hay Street Perth WA 6000,Yes,
Alltype Engineering,101,94,Kelvin Andrijich(Managing Director),1985,NFP,NFP,1,1,,"Delivering project solutions via integrated…Delivering project solutions via integrated multidiscipline fabrication, site installation, construction and maintenance services to the oil and gas, water, power generation, infrastructure, mining, resources, utility, petrochemical and defence industries.",NFP,NFP,"52 Hope Valley Road, Naval Base WA 6165",Yes,WestStar Industrial Limited
Aquip Systems,142,121,Jodie Draper(Managing Director - HIFraser Group),1991,13,5,1,3,,"Laser shaft alignment, vibration monitoring,…Laser shaft alignment, vibration monitoring, ultrasonic and positive displacement flow metering, fire detection and suppression, gas and flame detection and sand management, leak detection, PIG detection, thermal energy metering, liquid analysis",NFP,NFP,WA,Yes,HIFraser Group
WGA,29,26,Brenton Clark(Regional Manager),2012,125,105,1,7,"Pilbara Ports (various), CBH out-loading upgrades…Pilbara Ports (various), CBH out-loading upgrades, Rio Tinto sustaining capital projects, Kalgoorlie Nickel Project, Westport, Main Roads WA - Engineering Technical Services","Consulting Engineers & Scientists specialising in…Consulting Engineers & Scientists specialising in structural, civil, maritime, mechanical, process, electrical and geotechnical engineering. WGA also offer demolition, heavy lift, and temporary works design as well as data analytics, hydrogeology and project management services.",NFP,NFP,L1 66 Kings Park Road West Perth WA,Yes,
Lycopodium,12,13,Peter De Leo(Managing Director),1992,500,NFP,1,3,Koné Gold Project (Montage Gold); Boto Gold…Koné Gold Project (Montage Gold); Boto Gold Project (Managem); Kiaka Gold Project (West African Resources); Chemical Grade Processing Plant #3 (Talison Lithium); Ahafo North Project (Newmont),"Minerals: global engineering and project delivery…Minerals: global engineering and project delivery organisation providing specialist services in the development and delivery of mineral resource studies and projects, servicing the entire project lifecycle, from the initial scoping study through design to full project delivery and beyond, into operational optimisation and life-extension. Industrial Processes: providing specialised engineering and project delivery services across process industries, manufacturing and renewable energy sectors throughout Australia and South East Asia, delivering projects from concept phase through design, construction and operational handover. Rail Infrastructure: rail infrastructure management, asset management, engineering design, transport and logistics studies and interface management including 3rd Party Works Management and Independent Project Verification. Metallurgical & Comminution Consulting: providing a range of specialised consultancy services to the mineral processing community, primarily in the field of comminution, hydrometallurgy and mineral processing design through its subsidiary Orway Mineral Consultants (OMC).",,,East Perth,Yes,Lycopodium Limited
Schweitzer Engineering Laboratories,85,111,"Tanya Vulinovic(Regional Business Manager, Asia Pacific)",2008,NFP,NFP,1,3,,"SEL specializes in creating digital products and…SEL specializes in creating digital products and systems that protect, control, and automate power systems around the world. This technology prevents blackouts and improves power system reliability and safety at a reduced cost. A 100 percent employee-owned company headquartered in Pullman, Washington, SEL has manufactured products in the United States since 1984 and serves customers worldwide.

As part of their commitment to designing and manufacturing reliable, high-quality products, they research, design, build, test, distribute, teach, and support each of our technologies at SEL facilities. Assembled SEL products travel directly from our hands to where they need to be, so we feel confident that you and your customers can rely on them to keep critical systems fully operational.",,,"Pullman, Washington, USA",,
KBSS Engineering,,,"Cory Byers(Co-Founder, Managing Director (since 2014))",2012,140,4,2,1,"Yuri Hydrogen Project, Woodside Pluto Train Two…Yuri Hydrogen Project, Woodside Pluto Train Two Project, Perdeman Project Ceres, Rio Tinto Pilbara (Various)","Workshop Fabrication, Machining, and Coatings…Workshop Fabrication, Machining, and Coatings. With expertise in Site Maintenance, and Specialist Services, including On Site Machining, Leak Sealing, High Pressure Water Jetting,  Rope Access Solutions, and more. specialises in high-quality Project Execution and Management across Mining, Energy, and Infrastructure Sectors.",,,"100 Cowle Road, Karratha WA 6714",Yes,
Colliers,55,45,"Arthur Psaltis(State Director, WA and NT)",2022,150,NFP,3,25,,"Colliers Engineering & Design are an industry…Colliers Engineering & Design are an industry-leading engineering consultancy built on strong client relationships and an inherent drive for excellence. Our capabilities and expertise cover a broad range of sectors, delivering value-add design solutions to enhance our client’s investments. Our expert team has specialist knowledge across market sectors and provides the following services, structural engineering, civil engineering, lead consulting, contract administration, superintendency, independent verification/certification, sustainable design, BIM, industrial design, asset auditing and blast engineering. We cover a range of sectors such as; Builtform, water, environment and sustainability, transport and infrastructure, civic and public infrastructure, energy and resources, defence, land development, industrial and logistics, education, health, commercial, multi-residential, retail, aged care, urban renewal and hotels.",,,Subiaco,Yes,
Jacobs Engineering,23,18,Richard Hayers(Vice President Operations Asia Pacific & Middle East),1990,317,NFP,1,11,"Great Northern Highway upgrade (JV), Water…Great Northern Highway upgrade (JV), Water Corporation, Woodside Engineering Services, Main Roads WA, Public Transport Authority","At Jacobs, we're challenging today to reinvent…At Jacobs, we're challenging today to reinvent tomorrow – delivering outcomes and solutions for the world’s most complex challenges. With a team of approximately 45,000, we provide end-to-end services in advanced manufacturing, cities & places, energy, environmental, life sciences, transportation and water. From advisory and consulting, feasibility, planning, design, program and lifecycle management, we’re creating a more connected and sustainable world.",,,United States,,Jacobs Engineering Group Inc.
SPIE Global Services Energy,30,20,"Dean Paton(Managing Director, Australia)",2002,122,101,2,1,Chevron Australia JiC Compression Project; PASI…Chevron Australia JiC Compression Project; PASI Contractor; Woodside Energy; Pluto DCS Upgrade Main Automation Contractor; Albemarle Kemerton Lithium Commissioning and Systems Support: Chevron Australia Gorgon and Wheatstone Systems Engineering Support;,"SPIE Global Services Energy was established in…SPIE Global Services Energy was established in 2002 as a brownfield’s specialist engineering company. Our core capabilities are centred around instrument, electrical, control systems engineering including fucntional safety and E/I installation, inspection and commissioning services.",NFP,NFP,Perth,Yes,SPIE Global Service Energy
GHD,5,4,"Sheldon Krahe(General Manager – Western Australia Region, Executive Director)",1975,874,398,5,43,"Collie Battery Energy Storage System, Kwinana…Collie Battery Energy Storage System, Kwinana Battery Energy Storage Systems Stage 1 & 2, Tonkin Gap Alliance, Alkimos and Dampier Desalination Plant, Australian Renewable Energy Hub, Murchison Hydrogen Renewables Project.","Multi-disciplinary engineering and technical…Multi-disciplinary engineering and technical services in the following areas: air & noise, asset operations & management, aviation, bridges, building services engineering, dams, design & documentation, food & agribusiness, geology, geotechnical, health safety & environment systems, hydrocarbons process & transport, hydrogeology, hydrology & hydrodynamics, information, communications technology, instrumentation & control, integrated water management, land development, marine & coastal engineering, materials technology, mineral process & plant engineering, mining engineering & geosciences, oil & gas, policy & economics, power distribution & industrial, power generation, project & construction management, railways, risk management, road systems, spatial sciences, structures, tailings (mines & residues), transport planning & traffic engineering, tunnels, waste management, wastewater treatment & recycling, water sciences, water transmission & distribution, water treatment & desalination, stakeholder engagement and communications, sustainability (including ESG, Decarbonisation and Circular Economy).
Advisory services to optimise asset ownership outcomes including Infrastructure Investment & Economics; Risk, Assurance & Regulation; and Asset Management.
Digital services including Data Analytics; Cybersecurity and Risk; Digital Strategy and Transformation; Smart Technology and Innovation.
Project Management, procurement, construction management.",,,,Yes,GHD Group Limited
SIMPEC,,,,2017,NFP,NFP,"6,153","2,015",,"Structural, Mechanical, Piping, Instrumentation,…Structural, Mechanical, Piping, Instrumentation, Electrical, Civil services across the Resources, Renewables and Infrastructure industries.",NFP,NFP,"Applecross, WA",Yes,
Mott MacDonald,60,,Adrian Jones(Regional Managing Director - APAC ),2012,45,42,1,5,"METRONET: FAL Dundas Rd CP Reinstatement, Sydney…METRONET: FAL Dundas Rd CP Reinstatement, Sydney Metro: Engineering Design & Assurance,  AJM Joint Venture: Victorian Rail Infrastructure Program, Kidston Pumped Hydro Storage Design, DIT: North South Corridor","Project Development, Feasibility Studies, Owners…Project Development, Feasibility Studies, Owners Engineering, Engineering Design, Construction and Commissioning, Project Management, Digital Advisory, Business Advisory.",NFP,NFP,Adelaide,,Mott MacDonald Group Limited
Worley,1,1,"Chris Ashton(Chief Executive Officer, Managing Director)",1978,"2,000",NFP,3,8,,"Worley is a leading global provider of…Worley is a leading global provider of professional project and asset services in the energy, chemicals and resources sectors.

The Company covers the full project lifecycle from guiding our customers with pioneering projects to finding innovative ways of sustaining and enhancing their existing assets. Their comprehensive geographic presence enables them to leverage global expertise and deliver innovative solutions locally, to meet their customers' needs.",,,"Sydney, NSW.",Yes,Worley Services Pty Limited
Applus+,77,50,"Adam Alessandrino(Executive Vice President, Pacific)",1981,400,25,3,9,"Chevron Gorgon/ Wheatstone LNG and WA Oil,…Chevron Gorgon/ Wheatstone LNG and WA Oil, Ichthys LNG, Woodside KGP & KGP,  Shell / QGC","Inspection / asset integrity engineers and non…Inspection / asset integrity engineers and non-destructive testing. Materials testing , failure analysis, Rope Access Inspection, maintenance and IRATA training, UAV services.",,,"Madrid, Spain",Yes,Applus (Spain)
Geronimo Advisory,,,Mathuran Marianayagam(Principal),2024,,,,,,,,,,,
Mason Electrical Engineering Contractors,,,,1982,34,1,1,,"Cunderdin ORB Design & Drafting, Merredin Design,…Cunderdin ORB Design & Drafting, Merredin Design, Newdegate Design, Konnongorring Expansion Design","Engineering and commissioning reports
Site audit…Engineering and commissioning reports
Site audit and asset condition reporting
Project definition, design and scoping reports
Project management and coordination",NFP,NFP,Neerabup WA,Yes,Pinnaroo Electrical Pty Ltd
The Fremantle Foundry & Engineering Company Pty Ltd,,,,1902,67,,,,,,,,Henderson,Yes,
Agilitus,,,Craig Bloxham(Managing Director),2017,,,3,3,,"Agilitus is majority owned by our employees, who…Agilitus is majority owned by our employees, who are united by our purpose – together, we embrace innovation to solve complex problems, for today and future generations. 

As a trusted advisor to clients in the Resources, Energy and Industrial sectors, Agilitus provides multidisciplinary, fit-for-purpose engineering, design, project delivery and advisory capabilities. 

Our teams leverage technical ingenuity across the entire project life cycle to help clients realise their development vision. This includes mitigating risk, improving safety, minimising operational disruptions, optimising asset performance, connecting to infrastructure and freight networks, navigating through statutory approvals, enhancing their social license to operate, making projects bankable and increasing value for all stakeholders.",,,Perth,Yes,
PMV Engineering,,,,,,,,,,,,,,,
MKA Electrical Design Consultants,151,134,Phillip Matera(Director),2018,10,3,1,,"Newman College Junior School, Grovelands Primary…Newman College Junior School, Grovelands Primary School, Karratha SHS","Electrical design consultancy, electrical design…Electrical design consultancy, electrical design engineering, communications and electronic security, fire detection systems, NBN accredited designer for multiple dwelling unit buildings, NBN accredited designer for new development pit and pipe designs condition, compliance and capacity audits & recommendations, cost estimates, feasibility reports, schematic designs, BCA compliance documentation.",,,"Osborne Park, WA",Yes,2
Altrad,22,,"Neil Sadler(Chief Executive, Asia Pacific)",1985,,,,,,,,,,,
RASP Australia,99,,Richard Tester(Managing Director),2013,60,30,1,4,"Western Power Design Panel, VICGRID TAS Panel,…Western Power Design Panel, VICGRID TAS Panel, Woodman Point Sludge treatment Plant, VIC LXR (Level Crossing), Gippsland Line Upgrade","Power/Electrical Engineering (LV,MV,HV,Bess),…Power/Electrical Engineering (LV,MV,HV,Bess), Renewable Energy, Civil Design, Drafting & Modelling",NFP,NFP,"Perth, WA",Yes,
Qetra,117,,Brian Zlnay(Managing Director),2020,200,10,1,,,"Fabrication, management, construction, inspection…Fabrication, management, construction, inspection and commissioning.",$45.00m,$50.00m,"57 Competition Way, Wangara WA 6065",Yes,
Decmil Group,64,74,"Rod Heale(Managing Director, Director since 2023)",1978,NFP,NFP,1,4,"Marble Bar Road Upgrade, $61m (HanRoy), Telfer TF…Marble Bar Road Upgrade, $61m (HanRoy), Telfer TF Raise, $33m (Newcrest), Perdaman Project Bulk Earthworks, $138m (Saipem Clough JV), Warradarge Wind Farm Extension, $47m (Vestas).","Decmil deliver integrated construction and…Decmil deliver integrated construction and engineering solutions for a wide range of complex major projects across Australia. We work in the resources, infrastructure and renewable energy sectors.
Capabilities include design & construction works, civil construction, bulk earthworks, roads, bridges & rail, Balance of Plant works for wind farms, camps and remote village accommodation,  Non-Process Infrastructure works, and building construction.",NFP,NFP,Perth,Yes,Macmahon Holdings
PMV Training,,,Jatinder Ahuja(Chief Executive),2005,,,,,,,,,,,
GTE Group,,,,,100,,,,,,,,,,
KPMG,87,,"Trevor Hart(Partner of Audit & Assurance, Global Head of Mining, WA Chair)",1907,610,20,1,13,,"Asset Management, Asset Strategy and Advisory,…Asset Management, Asset Strategy and Advisory, Asset management technology solutions, Project Delivery, Program Management",,,"235 St Georges Terrace, Perth WA 6000",Yes,
Kent,,,,,,,,,,,,,,,
Omega 365,134,105,Emma Ireland(Managing Director),2005,20,7,1,2,"ConocoPhillips Barossa, Sirius Minerals York…ConocoPhillips Barossa, Sirius Minerals York Potash, Riotinto Oyu Tolgai, Fortescue Metals Group Capital Projects, WorleyParsons Global Contract","Omega is a leading supplier of innovative…Omega is a leading supplier of innovative software systems and project personnel to the mining, oil & gas and energy sectors. Operating 14 offices around the globe we have a competitive international reach enabling us to mobilise systems worldwide and draw from a globally diverse and talented human resource pool. Omega has long been an established and trusted brand; we currently deploy staff and software to over 800 projects across multifaceted disciplines, supporting projects ranging from $100k to $10+ Billion. With a reputation for success in complex and challenging economic environments, Omega are the software and staffing provider of choice for major operators worldwide.
Omegas flagship management system Pims offers a comprehensive suite of software to improve profitability and streamline information sharing across any business. Specializing in complex environments and innovative projects Omegas web based software excels in situations where multi-discipline teams have to be able to work cohesively while spread across different locations and project phases. Pims modules are fully customizable to your individual business needs and are easily integrated into existing systems. All software licenses include access to a dedicated support team of IT Professionals.

Modules include:

	Contract Management  
	Cost Management 
	Workforce Planning  
	Document Control  
	Completion Management  
	Workflow
	Supplier Portal
	Risk Management  
	Health & Safety Management  
	Experience & Benchmarking  
	Quality Management  

Experience and expertise underpin the value of Omega's Consultancy Service. Our consultants have skills across a wide variety of disciplines and possess a keen understanding of project execution throughout all phases. We know first hand the value of choosing the right staff to guarantee the success of your project. With offices located around the globe we are able to draw from an extensive pool of talent and our consultants are industry professionals who have built vast networks of contacts and potential candidates over the course of years in the business. Whether you require additional contract staff to handle peak workloads, a specific set of skills to compliment your existing expertise, or a whole team to manage a new project Omega are able to deliver you the personnel even in competitive markets.",NFP,NFP,Perth,Yes,Omega AS
